ID,NAME,DISTRICT,TYPE,X_COORD,Y_COORD,RASTERVALU,CLIMATE_ZONE,FROST_RISK,RAINFALL_POTENTIAL,CURRENT_TEMP_C,CURRENT_RAIN_MM,CURRENT_CONDITION,AGRICULTURAL_ADVISORY
202,Liqhobong,Butha Buthe,Village,28.59871,-28.98928,2438,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
203,Ha Sekhobe,Butha Buthe,Village,28.59324,-28.96785,2448,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
204,Patuoe,Butha Buthe,Village,28.60372,-28.95965,2388,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
205,Thoteng,Butha Buthe,Village,28.61192,-28.9462,2287,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
206,Liteleng,Butha Buthe,Village,28.6297,-28.9307,2371,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
207,Setonong,Butha Buthe,Village,28.637,-28.90928,2389,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
376,Ha Rampai,Butha Buthe,Village,28.5175,-29.00771,2440,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
377,Ha Mahlekefane,Butha Buthe,Village,28.52577,-29.03328,2272,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
378,Ha Sello,Butha Buthe,Village,28.56915,-29.02376,2346,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
379,Ha Lesaoana,Butha Buthe,Village,28.51549,-29.07115,2284,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
381,Ha Lephats'oane,Butha Buthe,Village,28.60024,-29.00971,2388,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
382,Ha Ralinko,Butha Buthe,Village,28.59623,-29.03629,2528,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
383,Kao (Shishila),Butha Buthe,Village,28.63058,-29.02125,2513,Mountain,High,Excellent,,,Connection Error,Advisory unavailable: Weather data stream offline.
2058,Butha Buthe,Butha Buthe,District Town,28.25236,-28.76806,1722,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
2059,Khukhune,Butha Buthe,Town,28.41477,-28.73618,1686,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
2078,Ha Mopeli,Butha Buthe,Principal Village,28.28557,-28.76032,1785,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
